9519	654924
3644	654924
17795	561445
15670	561445
13073	561445
785	10500
10496	9940
14352	10500
9646	561445
12010	263737
9830	8665
10515	338818
6173	338837
15610	35670
9439	8655
18298	129461
16628	8684
4463	129461
2660	33626
7122	35670
11470	8658
10777	96794
19363	96794
8002	195058
13734	8618
14799	8619
1714	8642
25	8656
6202	8665
6178	8616
1842	8626
1238	8618
17500	8665
15593	39947
87	10090
19763	561501
17142	7227
4899	9606
7431	7226
12270	7240
8545	663331
6761	5076
13411	3702
7296	3702
3535	9606
6828	9606
7206	13616
4484	6239
1861	451804
11355	331117
12843	339671
15932	39947
3365	362242
11186	159087
9860	455632
12436	6238
5386	9685
9853	267608
1686	243273
14378	340177
15691	517417
13027	398767
18191	267748
2298	338963
2758	347255
5256	293614
19571	391896
19616	293613
17447	56780
17732	340099
10014	347255
12382	272947
15756	622
3845	9103
11518	160488
11011	320388
7986	320372
19914	360102
16920	351160
14571	10090
17336	10090
5949	9606
1933	350688
2192	334390
1479	431943
16171	56958
6900	104688
2653	9606
9617	10047
10606	9940
52	44689
6164	9606
13002	9601
12226	214684
14380	309800
9184	1891747
11350	289380
7707	3702
4728	455488
4672	573826
14993	7240
18494	7245
4757	10090
12381	9796
8584	9986
671	7222
12414	224308
11396	332648
15669	39947
10195	267377
17609	3702
489	3702
15270	3702
17757	237631
4833	7955
5346	425265
7619	237631
12211	290512
6671	44689
18969	7612
19162	9783
14901	272624
16183	243160
8982	882
16169	391774
17651	2334
17631	290315
9930	243164
18948	255470
5503	269799
924	1422
15666	169963
4389	293613
16770	315456
17620	109269
7660	455488
8843	360105
15217	269799
5675	351605
10295	93060
7335	59919
19655	2903
10087	412965
6079	314256
13466	427318
16637	1423
3756	39947
9187	107806
3815	122586
14291	857087
7408	74613
19543	324602
11079	340177
11599	331678
1717	194439
9707	357808
2331	10377
2685	6110
15189	3702
12102	170972
346	224308
8866	522373
19650	7130
13927	39947
13269	3702
8926	3702
1197	3702
5922	9606
18772	1421
13195	1421
3230	1328066
5154	331678
6960	290317
8556	515621
5297	212717
1850	595494
2543	315730
10076	243231
4395	243275
14467	9544
2104	7227
13649	2017
10970	3702
8978	82830
10123	644223
2919	7165
12234	271848
3929	46245
10070	10726
4497	64174
10326	290434
3892	29519
9835	62088
15885	30360
6469	7650
5815	7227
19061	6239
19893	6238
12685	425011
765	290317
15213	61198
57	93154
13789	3702
17823	290315
13218	167542
16709	225849
6826	391009
8150	39947
17076	39947
2565	243277
14221	186103
643	193567
3146	9541
8425	31243
7267	10116
8330	303
18490	117024
2464	9606
162	10090
8410	158879
17413	100226
19362	3702
4437	3702
19614	338963
7461	150095
18911	6239
5420	4577
18013	4577
5889	266264
863	10090
15111	10116
17630	89431
1745	89445
7508	6493
17686	100123
8291	100123
7696	69564
7430	46122
11707	89438
8893	458234
9238	243231
4639	59919
6759	110662
10994	381764
17410	455434
3457	194439
2471	272844
1629	70601
9897	316274
10256	290512
13422	59919
10754	59920
8767	212717
2903	211586
1856	60480
18685	351745
5602	1736779
16400	1736779
13101	1736779
13145	1736779
9570	1736779
2669	190192
467	224308
16123	3871
13662	13249
8831	66265
17300	9579
9719	9470
16585	9598
17833	9521
5090	9565
17361	426118
8297	10090
10597	9685
894	9796
15393	9606
282	9913
19821	5479
15552	167879
19712	420247
6273	44689
18341	251221
9942	29340
11689	317363
18113	39405
7316	7234
8008	269797
14433	262698
2875	194439
1064	290400
606	3702
18462	83558
1731	171101
3432	3702
18910	246410
7131	9606
14373	81972
4240	88036
17556	3694
14641	335284
105	243161
7450	416870
15314	7238
3669	75988
15072	75988
18870	75988
264	317381
4991	234826
1855	480224
14447	194439
9214	334390
78	347255
10987	392021
10	192952
19263	178306
19988	384616
3964	444157
5043	273116
19319	357244
2368	35772
14841	290512
19277	336407
17980	257310
18254	334390
862	2787
15553	257363
11245	74546
9812	517417
14206	882
1905	265311
15564	208964
12615	522373
5314	45212
16659	271848
7451	44689
8221	170972
4359	3702
10217	69014
12337	171101
18003	224326
5068	315456
12785	257363
14480	315456
7415	272947
13683	255470
4769	6239
16681	561445
6711	10498
7520	67571
12780	262177
1018	7227
388	167879
1990	272947
14134	9606
17523	196164
18514	393011
11322	291331
9148	44689
7807	44689
12452	3702
13628	10703
7800	561445
4129	10315
2459	10370
1954	9606
10488	418136
18261	264202
1792	315277
5916	243276
18665	455434
6464	10249
9500	10254
16473	928301
16050	69152
10787	10534
15523	10515
18093	237561
9967	3702
15367	265311
7493	339860
10810	5671
8637	3702
1477	9606
18855	9986
5781	10116
5366	5807
19868	272569
108	456442
1587	444157
9517	9598
7480	344612
594	284592
17780	227321
17653	243276
5078	1392
7748	224914
15559	204722
465	444177
17493	418127
2651	196620
5606	3702
7252	266834
17848	359391
16860	83333
1695	39947
19376	237631
18707	407976
3017	272622
14001	240015
10795	39946
5081	3702
11082	9925
8592	10761
18520	7217
2724	7220
2286	7230
19771	8355
17348	266834
6355	330879
2170	9986
4966	224325
8072	1075091
8198	309800
1367	198804
7772	297245
5190	243276
18326	243276
18947	367830
7519	273036
18905	158878
12806	314723
8263	190650
11369	559292
16324	322104
8821	331678
4442	194439
1860	316278
11436	64471
2538	316279
15549	110662
4112	390874
5038	441770
13326	357544
5127	59922
1344	167539
9690	74547
4905	59919
2160	59920
7909	7227
3829	7955
7802	3702
6601	93060
6572	336407
18775	293613
18271	6728
10384	9606
511	331117
8077	448385
9656	419947
1978	83334
3865	177416
7453	317025
18921	717773
19551	224324
17220	243273
3304	271
2918	307468
8246	237561
10049	39947
10882	434924
15266	360115
16401	262722
19794	262719
17406	10868
17321	10864
5267	1977402
6286	7227
11083	7227
21	298339
6124	309803
7900	126740
950	13427
11240	3702
616	315277
11397	376619
13585	273119
7592	224325
15724	351160
1922	6238
11939	33631
17814	347255
4520	392021
16272	257363
13176	427317
4286	273057
1032	220664
11141	330779
2388	224324
1162	340177
605	331678
10347	10090
1514	359391
7990	3702
19741	218497
19857	264202
12834	484022
11572	376619
6099	32049
11487	262724
1426	192222
17335	354242
8887	290318
5208	434923
18409	205920
340	273063
14145	66084
13551	243232
7137	39947
12958	387212
2198	387211
682	376619
16016	443144
14622	243243
8998	1764
749	66712
17790	354242
3703	591159
14314	1708
9324	8364
18019	6182
12012	83332
2507	10090
17829	404589
15328	419942
11120	439386
18602	177437
8049	517418
10492	322159
19859	525146
1590	167539
8548	883
2422	118103
13761	882
8253	169963
708	386043
969	342108
11918	83331
13491	645
9668	272944
19788	392021
4902	8355
6954	8355
10833	7750
13762	209901
16516	43685
7468	7165
3453	7240
1689	7245
11382	7227
14031	319225
3385	290318
11402	264732
17756	324925
8155	290512
17571	382245
168	44689
906	44689
3657	44689
9952	44689
16325	6239
7063	38598
4163	9598
12776	9940
6324	9328
26	54180
8298	66063
14196	44689
12831	44689
13381	6978
9565	36953
3144	348763
12761	406578
17278	340177
12034	316
13208	7454
10613	7227
11124	58310
18668	13053
17205	6239
13108	7792
9077	48984
14683	179672
4313	290315
370	517417
6910	255470
10567	96561
2300	290512
16052	69014
15023	4513
8735	82810
12320	82812
18903	3847
14482	3847
13261	1295018
18868	1295018
4130	1295018
17947	310273
8707	10338
15134	10315
5971	10329
12931	7227
9958	273075
9851	399549
10800	295405
12516	498214
13724	242619
9465	211110
8898	505682
1641	273119
11541	290318
10730	368407
1724	6535
7636	9378
7228	6928
16603	9606
2661	9606
14452	224911
4318	208963
8215	216595
10841	444157
15544	509169
7389	336407
17908	224915
6709	272561
18199	9031
16801	9606
638	9483
15545	9598
16958	1913
4	443255
430	29303
6966	1911
19412	3055
2959	9913
6444	3702
